package_name,weekly_downloads
i18n,484
AoikEnum,0
graphene-chain-mutation,0
django-redis-views,53
sportsml,4
torchdynamo,24
ragames,0
sports-plotter,0
rube_mc_pi,8
pytest-browsermob-proxy,6
materialism,0
openimis-be-insuree-batch,0
neuropod-backend-torchscript-1-5-0-gpu-cuda-10-1,0
AoikLiveReload,248
taxii2-client,8348
pyimgui-wheels,20
cloudnetpy-qc,506
phylodeep-data-BDSS-large,0
taxi-ops-backend,26
phylogenetics,0
django_reflinks,1
buzzshotdev,4
psql2py,3
shoplistapp,0
pyimpfuzzy,244
moodlerpd,8
torch-embed-sim,7
legate.pandas,0
django-regex-match,21
rakshita,1
iapsync,0
mathplot,440
shpm-themadpunter,3
Validandolosdatosdelprofile,2
tccli-intl-en,4065
openmined.threepio,86
cloudswitch,0
SPPU-Scraper,0
word2html,14
Mopidy-Rough-Base,6
farzanpdf,2
bank-of-england,2
apache-airflow-providers-tableau,49639
odoo12-addon-repair-default-terms-conditions,5
pyiotown,93
easyscrape-etsysuggest,2
validataclass,149
fas,3
bank-of-ghana-fx-rates,1
tc-data-tools,1
validate-adhar,7
apache-airflow-providers-vertica,9921
torchplus,65
spr,2
psyplot,15
cloudtee,0
shravannaidu-package,0
newparth,0
DifferentialEquations,1
odoo12-addon-repair-timeline,9
apache-airflow-providers-y42demo2,1
abide-distributions,3
easySED,0
csv2graph,7
graphql-builder,0
bytbil-exceptions-lib,0
easy-selenium,1
odoo12-addon-report-hotel-reservation,0
pyipayment,0
jprm,17
abie,26
FAS-FT,0
shredder,13
iasap,0
newpersonlei-demo-202112241718,0
odoo12-addon-report-hotel-restaurant,5
pyipc,1
word2tei,5
FAS-FT-gpu,6
bankroll-broker-fidelity,0
mathraining-scrapper,0
csv2graphite,1
csv2img,13
math-round,2
bytbil-postgres-init-db,1
newpipprojectpkg,0
sprav-report-processor,3
psy-strat,7
IAS-ur5,10
shrep,0
fstrm,753
math-round-af,2
jprops2bash,0
newpjt,2
word2vec-SISG,0
picardapi,0
sprawl,0
validatedata,0
Mopidy-Subidy,13
GraphQL-core-next,573
raleigh,0
bankroll-model,2
lemon-metadata,49
picard.py,4
RALib,0
openmodelica-microgrid-gym,7
csv2latex,4
lemon-pages,3
mathseq,1
byteapi,0
Wordabulary,1
diff-highlight-tokens,0
abi-maker,5
fashionpedia,25
newpro,4
torchps,1
odoo12-addon-report-qweb-pdf-watermark,2
ra-libpythonpro,4
runai,62
Mopidy-Tidal,30
psy-view,2
shreyansh.kushwaha,0
torchqdynamics,5
djangorestframework-casdoor,3
apache-ensite,1
odoo12-addon-report-xlsx-helper,24
tc_force_upscale,0
Mopidy-Tubeify,0
cloud-tpu-client,55098
py-ipld-dag,0
shreycalc,0
pt2keras,13
CloudTrails-SDK,20
csv2pdf,87
lemon-tinymce,0
JPSLUtils,86
Mopidy-WebLibrary,0
maths-stuff,0
lempel-ziv-complexity,51
djangorestframework-dataclasses,34161
torch-rc,16
shrinemaiden,12
odoo12-addon-sm-rewards-emc,5
newtrackon,3
morl-torch,3
leprikon,35
ptrail,7
openrlbenchmark,43
absp,3
ibm-wmla-client,6
ptranslator,0
sps_automation,0
pyJect,11
JSBSim,69
grasspy-wordcloud,0
valuta,861
morning-assistant,0
easyvvuq-qcgpj,1
absplots,9
torchx,1202
spseg-tool,86
cltool,0
jsc,1
lepy,0
grate,0
NewYear,0
jscc,97
pytest-localftpserver,2990
matreshka,1
ftw.chameleon,0
valve-gfx-ci.gfxinfo,6
easywebassets,0
c2.manage.sharesetting,0
Randomcardpickerlite,0
fast-api-gcs,8
ftw.collectionblock,0
easywebdav,780
lequanggminhhofficial,1
shython,0
odoo12-addons-oca-bank-payment,1
wordstream,0
tdameritrade-cli,5
valve-range-query,0
dig-indicator-incall,2
gravatar,10
abstention,20
morningstar-utils,0
Barky,10
